Point,West Height (m),Center Height (m),East Height(m),West Diff (m),Center Diff (m),East Diff(m),West Grade (m),East Grade(m)
289,205.348,205.673,205.385,0.008,0.048,0.0,2.42,2.14
290,205.328,205.661,205.364,-0.007,0.063,0.0,2.48,2.21
291,205.313,205.649,205.343,-0.017,0.057,-0.001,2.5,2.28
292,205.303,205.636,205.321,-0.018,0.064,0.003,2.48,2.34
293,205.296,205.623,205.299,0.002,0.06,0.002,2.43,2.41
294,205.289,205.61,205.278,-0.002,0.079,0.0,2.39,2.47
295,205.287,205.597,205.257,-0.001,0.084,-0.001,2.31,2.53
296,205.285,205.584,205.236,-0.008,0.088,0.0,2.22,2.59
297,205.284,205.571,205.215,0.0,0.091,0.0,2.14,2.65
298,205.284,205.558,205.198,0.0,0.096,0.0,2.04,2.68
299,205.279,205.545,205.186,0.001,0.098,-0.002,1.98,2.67
300,205.273,205.532,205.169,0.001,0.093,-0.007,1.93,2.7
301,205.267,205.519,205.157,0.003,0.099,-0.026,1.87,2.69
302,205.265,205.506,205.15,-0.002,0.094,-0.015,1.79,2.65
303,205.263,205.493,205.143,0.0,0.108,0.0,1.71,2.6
304,205.261,205.48,205.131,0.0,0.119,0.006,1.63,2.6
305,205.264,205.467,205.114,0.0,0.124,0.014,1.51,2.63
306,205.262,205.454,205.092,0.006,0.126,0.008,1.43,2.69
307,205.26,205.441,205.066,0.0,0.129,0.0,1.34,2.79
308,205.253,205.428,205.045,0.002,0.137,0.0,1.3,2.85
309,205.246,205.415,205.029,0.003,0.136,0.0,1.26,2.87
310,205.234,205.402,205.013,0.012,0.136,0.002,1.25,2.9
311,205.217,205.385,204.996,0.019,0.129,0.0,1.25,2.9
312,205.195,205.365,204.979,0.023,0.135,-0.001,1.26,2.87
313,205.168,205.345,204.96,0.025,0.125,0.0,1.31,2.87
314,205.136,205.327,204.942,0.007,0.119,0.0,1.42,2.87
315,205.1,205.309,204.924,0.008,0.112,0.0,1.55,2.87
316,205.069,205.292,204.905,0.008,0.121,0.0,1.66,2.88
317,205.043,205.275,204.886,0.0,0.114,0.004,1.73,2.9
318,205.022,205.256,204.872,-0.011,0.115,0.01,1.74,2.86
319,205.004,205.235,204.859,-0.01,0.117,-0.007,1.72,2.8
320,204.991,205.214,204.845,-0.003,0.106,0.001,1.66,2.75
321,204.979,205.193,204.826,0.001,0.108,-0.004,1.59,2.73
322,204.967,205.172,204.803,-0.01,0.11,0.001,1.52,2.75
323,204.953,205.151,204.779,-0.006,0.111,0.0,1.47,2.77
324,204.938,205.13,204.758,-0.001,0.104,0.0,1.43,2.77
325,204.918,205.109,204.738,-0.003,0.099,-0.001,1.42,2.76
326,204.898,205.092,204.713,-0.006,0.097,0.001,1.44,2.82
327,204.878,205.077,204.689,-0.007,0.108,0.0,1.48,2.89
328,204.858,205.062,204.666,-0.002,0.11,0.0,1.52,2.95
329,204.838,205.044,204.643,-0.003,0.114,0.002,1.53,2.99
330,204.818,205.022,204.625,0.002,0.113,-0.001,1.52,2.96
331,204.798,205.0,204.608,-0.003,0.111,-0.002,1.5,2.92
